Tweet ID,Full Text
1348436386223976449,"@Femi_Sorry Can’t wear a mask? Okay!

But that DOES NOT MEAN that I have to inhale the viral particles you’re shedding!

The mask does not protect the wearer. (Well, it does SLIGHTLY.)

The mask is to protect other people FROM the wearer. 

If you can’t make yourself safe, #ClickandCollect"
1346780777896419328,"Interesting times ahead, please wear a mask OVER YOUR NOSE, when going out. https://t.co/1UWTXfcLR9"
1346174704197971970,"@Glitchyguns @drjohnny__ You all may laugh but Hospital will not be able to treat any other illness flu would have been lower due to mask wearing but younger people and family all let guard down when in family groups so COVID being 7 times more transmittable ,if anyone gets cancer they will be delayed."
1353112982230769664,"I have my 1st VAX appointment Feb12!
I’m told 2go early, so they can clear out the “27-yr olds trying
2barge in” ahead of Seniors &amp; Ppl at risk, w/Appts.
It’s not the MORNING AFTER PILL! Don’t go 2a party, then come BEG next day w/regrets! #WEARaMASK #StayHome #WAITyrTURN"
1345158365966696448,@ROBIN50N @jimmy_viz @LesDennis They can wear a surgical mask if they want &amp; they have plastic screens to protect them what is your problem with people being worried about school children and teachers??
1355418021490266112,"With the #CDC’s recommendation people wear 2 masks for extra protection in light of new #COVID19 variants, a new breed of #AntiMasker is born:

I present ... the #OneMasker: “What the hell is’n xtra mask gunna do that da first one didn’t already, ya idjut”

#WearTwoDamnMasks"
1352914478812246023,"الله يحفظ الجميع بحفظه

خطر #كوفيد_19 لم ينته.. لحمايتكم وحماية مجتمعكم وللمساهمة في الحد من انتشار فيروس كورونا المستجد، حافظوا على ارتداء الكمامة بشكل صحيح مع غسل يديكم بمطهر كحولي أو بالماء والصابون بإستمرار، وترك مسافة تباعد كافية. #البس_كمامة #WearAMask"
1349144896242855937,Let this sink in people. Wear a friggin mask if you aren’t already. https://t.co/2xLu7u6zQW
1347147906512515073,@tomlinsson_28 And not wearing a mask OR social distancing. The fandom is in pieces basically 😗✌️
1353685247590850561,"@CharlieRafc Like many people I have vulnerable members in my household I’d rather not risk infecting. Social distancing is extremely difficult in school as well as getting students to wear masks correctly, staying at home away from those risks is literally the safest option for most."
1353781621472829441,"As I receive more info about additional sites + opportunities to receive the vaccine, I will share them. Please continue to wear a mask / protective face covering 😷, thoroughly wash &amp; sanitize your hands 🧼, and socially distance yourself from others whenever possible. (4 of 4)"
1349979822802546689,Drew and I masked up turning Georgia Blue#2021 #georgiasenate #BidenHarris2020 #MaskUp #WearAMask #InThisTogether #supporthealthcareworkers #UnityAndHealing #LockTrumpUp #LockThemUp #Equality #loveislove #BlackLivesMatter
1354139804649185280,Nice mask Jim Jordan!🤔 https://t.co/ZhYztl9Sya https://t.co/AhuNM6DWlX
1347314688191848448,@itylergarrett @k3nzlov3 @LinaHidalgoTX The worst covid infections are in democrat held areas that have had draconian lockdowns and mask mandates..
1346977065891872769,"@titoortiz As others have shown, you're wrong. Consider this. What if you're wrong about the other stuff. Like masks and Q and COVID and Trump. What if people die because you were wrong? It matters if you're an elected official."
1353186108545372161,@ZENXPAII whenever ur free but also there’s a pandemic going on so u better have a mask 🥵🥴😍
1349995211750047745,"@DrOlufunmilayo That's how I wore a mask while walking a on the road a street boy shouted in pidgin "" comot that mask corona no dey"".
I didn't know when I showed him my middle finger."
1353589752012951553,@sessydell @CindySherden @kathy16316843 @elizashapiro @benyt @EricaLG You people don't get it. Stay home and mask up when you go out. Only go out when necessary.
1354109758819725317,"The Mississippi County Quorum Court will meet tonight at 7 PM in the Burdette Courthouse! The meeting is open to the public, but you must wear a mask and follow social distancing guidelines. Also, the meeting will be streamed via Facebook Live!

Agenda:
https://t.co/ZLPQ7EjEVt https://t.co/17KQZqqEzW"
1350019782272282624,@family11london @itvnews have cash to buy one so i carried on to get home but got told that it’s in adequate to wear that as a mask I see a little mouth shield that didn’t make sense because everything is open and still exposed not acceptable
1354483619822252037,@SocietyBasement Ain't no mask or social distancing gonna stop that
1354755403452702722,@DancerDad @lulubella_lulu @norma_er @fudenib @DesmondSwayne Thank you. But it does say there is inconsistent evidence to prove either way. According to the studies I've read it depends on the mask. The N95 will afford more protection than a surgical mask. Masks don't give the user 100% protection but it reduces the viral load.
1354624446800273409,Proud to lead the charge in vaccinating our community. Great job  OrlandoHealth and #florida. #WearAMask and get vaccinated when it’s your turn. #VaccinesWork https://t.co/BvPGWXtZIZ
1349239623705260033,🤣 such facts.... smh ugh it so gross.. also funny how you said it 🤷‍♀️ lol... white people... wear a mask 😷 https://t.co/AzUZuGbawC
1349752206237560833,It’s always the old dumbass mfers who don’t wanna wear a mask
1348057323210764288,"@ViaGetty2020 @DebateDave @KamalaHarris I'm saddened to hear that.  And so, I wear my mask for you!  I hope you and your loved ones have a healthy 2021."
1355515361723109377,"@wis10 If the mask is the solution, where is the official instruction. If it can stop the spread then why do we need a vaccine. Let the people decide for themselves and if you are scared, stay home. What happened to common sense"
1346447025085231105,"@MrUntactical So you caught that in Florida? Just wondering because here where masks are mandated due to covid, there has been like a 98 percent drop in cases of the flu and other viruses"
